Samples:              200
Code base length:     900
Closeness difference: 159

Sample  Min_diff  Max_diff  Num_close
-------------------------------------
     0       128       172         11
     1       119       175        107
     2       126       175        158
     3       114       163         98
     4       122       165         43
     5       119       166        144
     6       130       157         15
     7       129       171         81
     8       117       166        101
     9       112       177        222
    10       121       171        292
    11       121       186        299
    12       126       154         23
    13       134       165         48
    14       135       174         62
    15       124       164        112
    16       126       178        221
    17       118       178        142
    18       125       172         47
    19       122       175         77
    20       118       168        352
    21       124       177         48
    22       123       157         25
    23       120       166         40
    24       127       170         60
    25       115       170        246
    26       112       174        136
    27       122       167         92
    28       122       182         37
    29       114       169         63
    30       115       172        443
    31       120       165        308
    32       123       182        211
    33       126       178        196
    34       121       181        116
    35       121       176         97
    36       130       167         40
    37       123       163         64
    38       113       167         46
    39       138       177         22
    40       117       166        111
    41       123       163        112
    42       107       175        328
    43       130       172        114
    44       126       174         74
    45       108       171        257
    46       111       172        240
    47       125       181        109
    48       115       166         63
    49       110       172        455
    50       115       174        390
    51       118       177         63
    52       116       181         66
    53       126       168         52
    54       132       166         48
    55       124       179         88
    56       116       174        253
    57       120       161         90
    58       108       164        236
    59       123       170         72
    60       127       178         46
    61       118       169        321
    62       118       170        328
    63       132       172         65
    64       117       167        156
    65       128       167         81
    66       117       161        130
    67       121       166        113
    68       127       171         66
    69       115       176        111
    70       120       178         62
    71       135       166         63
    72       118       173         87
    73       126       167         99
    74       107       173        157
    75       117       177        207
    76       120       163        162
    77       123       168        136
    78       127       173        147
    79       117       167        185
    80       127       180        191
    81       111       176        493
    82       122       167        195
    83       120       172        104
    84       117       171        195
    85       122       174         73
    86       125       174         75
    87       121       170         94
    88       111       160        105
    89       117       179        216
    90       121       176        170
    91       111       180        192
    92       118       174        420
    93       105       170        214
    94       105       172        370
    95       125       173        235
    96       125       167        103
    97       120       168        107
    98       118       170        252
    99       124       167        136
   100       121       177        239
   101       115       167        270
   102       121       185        137
   103       130       168         92
   104       114       178        192
   105       121       166        156
   106       117       175        371
   107       123       172         84
   108       120       173        179
   109       124       168        117
   110       118       170        174
   111       124       171        202
   112       120       169        465
   113       124       172        163
   114       116       170        459
   115       115       171        350
   116       124       169        350
   117       118       175        185
   118       111       176        475
   119       126       170        151
   120       114       175        190
   121       108       173        288
   122       125       181        111
   123       122       179        181
   124       120       166        207
   125       120       180        149
   126       115       166        136
   127       124       172        110
   128       126       170        140
   129       114       176        202
   130       111       152        137
   131       112       169        146
   132       121       174        261
   133       121       172        300
   134       121       178        336
   135       120       169        278
   136       128       177        157
   137       117       177        166
   138       125       170        124
   139       125       169        150
   140       130       172        125
   141       118       159        143
   142       112       175        443
   143       121       176        208
   144       115       173        265
   145       116       172        254
   146       112       180        299
   147       119       160        159
   148       109       160        157
   149       111       165        248
   150       111       172        249
   151       118       166        211
   152       114       178        200
   153       118       164        152
   154       114       177        307
   155       115       167        164
   156       112       179        270
   157       123       174        233
   158       115       168        214
   159       119       182        165
   160       124       179        163
   161       114       165        255
   162       117       168        178
   163       117       172        283
   164       125       175        211
   165       132       172        146
   166       113       157        173
   167       123       170        179
   168       115       174        212
   169       124       169        169
   170       112       165        170
   171       126       186         52
   172       118       163        176
   173       115       179        185
   174       124       185        151
   175       124       173        215
   176       120       177        274
   177       118       175        274
   178       121       168        217
   179       118       171        328
   180       122       176        282
   181       123       179        217
   182       123       169        223
   183       121       180        204
   184       111       182        337
   185       122       180        221
   186       127       182        241
   187       127       177        239
   188       126       172        193
   189       122       173        287
   190       124       167        230
   191       124       176        241
   192       129       173        182
   193       122       180        226
   194       120       181        238
   195       127       177        167
   196       117       176        214
   197       126       170        167
   198       121       167        198
   199       121       163        194
