Samples:              100
Code base length:     50
Closeness difference: 8

Sample  Min_diff  Max_diff  Num_close
-------------------------------------
     0         4        12         40
     1         4        12         39
     2         5        13         23
     3         4        11         45
     4         0         9         94
     5         4        12         49
     6         3        12         56
     7         4        12         49
     8         2        10         74
     9         2        11         78
    10         2        10         79
    11         5        12         26
    12         5        13         23
    13         8        15          0
    14         3        11         61
    15         3        12         64
    16         3        12         59
    17         5        13         27
    18         6        14         10
    19         4        12         44
    20         4        13         40
    21         4        13         27
    22         5        13          6
    23         8        16          0
    24         5        14         20
    25         2        10         80
    26         6        15          9
    27         3        11         59
    28         5        13         10
    29         4        12         42
    30         1         9         89
    31         6        14          3
    32         7        15          5
    33         4        12         58
    34         5        12         17
    35         3        12         68
    36         3        12         58
    37         4        13         38
    38         4        12         40
    39         5        13         18
    40         1        10         89
    41         4        12         36
    42         8        14          0
    43         4        12         41
    44         5        13         24
    45         6        14         10
    46         7        16          1
    47         3        11         67
    48         5        14         19
    49         3        11         61
    50         6        14         10
    51         5        14         21
    52         5        13         21
    53         5        13         23
    54         5        13         20
    55         6        14          8
    56         5        12         24
    57         3        11         66
    58         4        12         49
    59         5        13         18
    60         4        13         23
    61         3        12         65
    62         5        13         19
    63         5        14         13
    64         3        12         65
    65         0         9         94
    66         6        14         12
    67         4        12         43
    68         4        13         23
    69         6        14          9
    70         3        11         63
    71         5        13         29
    72         3        12         59
    73         4        13         38
    74         3        12         64
    75         4        11         39
    76         3        11         66
    77         2        10         81
    78         4        13         41
    79         6        14         10
    80         4        11         50
    81         7        16          3
    82         6        15         10
    83         3        12         62
    84         4        13         22
    85         1        10         89
    86         4        12         40
    87         4        12         44
    88         3        11         66
    89         6        14         14
    90         6        16          3
    91         5        13         22
    92         6        15         16
    93         3        12         46
    94         6        13         18
    95         6        13         14
    96         3        12         63
    97         4        12         46
    98         7        15          1
    99         2        11         74
